,locus_tag,name,description,type,length,subsystem
PP_1082,PP_RS05640,bfr,bacterioferritin,CDS,474.0,Metabolic:S_Iron_uptake_and_metabolism
PP_1083,PP_RS05645,,bacterioferritin-associated ferredoxin,CDS,219.0,
PP_1084,PP_RS05650,,peroxiredoxin,CDS,603.0,
PP_1085,PP_RS05655,rnt,ribonuclease T,CDS,675.0,Transcription
PP_1086,PP_RS05660,pyrC,dihydroorotase,CDS,1047.0,Metabolic:S_Pyrimidine_Metabolism
PP_1087,PP_RS05665,,OmpA family protein,CDS,942.0,
PP_1088,PP_RS05670,,argininosuccinate synthase,CDS,1218.0,Metabolic:S_Arginine_and_Proline_Metabolism
PP_1089,PP_RS05675,,hypothetical protein,CDS,483.0,
PP_1090,PP_RS05680,,response regulator transcription factor,CDS,624.0,
PP_1091,PP_RS28265,,PA3496 family putative envelope integrity protein,CDS,177.0,
PP_1092,PP_RS05685,nth,endonuclease III,CDS,639.0,
PP_1093,PP_RS05690,,hypothetical protein,CDS,525.0,
PP_1094,PP_RS05695,,RnfABCDGE type electron transport complex subunit G,CDS,603.0,
PP_1095,PP_RS05700,,RnfABCDGE type electron transport complex subunit D,CDS,972.0,
PP_1096,PP_RS05705,,Rnf-Nqr domain containing protein,CDS,549.0,
PP_1097,PP_RS05710,metG,methionine--tRNA ligase,CDS,2040.0,tRNA Charging
PP_1098,PP_RS05715,apbC,iron-sulfur cluster carrier protein ApbC,CDS,1095.0,
PP_1099,PP_RS05720,,cold-shock protein,CDS,210.0,
PP_1100,PP_RS05725,dcd,dCTP deaminase,CDS,567.0,Metabolic:S_Pyrimidine_Metabolism
PP_1101,PP_RS05730,,hypothetical protein,CDS,228.0,
PP_1102,PP_RS05735,pdeM,ligase-associated DNA damage response endonuclease PdeM,CDS,651.0,
PP_1103,PP_RS05740,,ligase-associated DNA damage response DEXH box helicase,CDS,2451.0,
PP_1104,PP_RS05745,,succinylglutamate desuccinylase/aspartoacylase family protein,CDS,1116.0,
PP_1105,PP_RS05750,,ATP-dependent DNA ligase,CDS,1659.0,
PP_1106,PP_RS05755,,ligase-associated DNA damage response exonuclease,CDS,1017.0,
PP_1108,PP_RS05760,,penicillin acylase family protein,CDS,2442.0,
PP_1109,PP_RS05765,,PLP-dependent aminotransferase family protein,CDS,1341.0,
PP_1110,PP_RS05770,,serine O-acetyltransferase,CDS,714.0,Metabolic:S_Cysteine_Metabolism
PP_1111,PP_RS05775,,alanyl-tRNA editing protein,CDS,789.0,
PP_1112,PP_RS05780,,MFS transporter,CDS,1212.0,
PP_1113,PP_RS05785,,pyridoxal-phosphate dependent enzyme,CDS,903.0,
PP_1114,PP_RS05790,,SEC-C metal-binding domain-containing protein,CDS,198.0,
PP_1115,PP_RS05795,,LEA type 2 family protein,CDS,474.0,
PP_5462,PP_RS28495,,hypothetical protein,CDS,237.0,
PP_5464,PP_RS05800,,hypothetical protein,CDS,438.0,
PP_1116,PP_RS05805,,recombinase family protein,CDS,711.0,
PP_1117,PP_RS05810,,hypothetical protein,CDS,1260.0,
PP_5742,PP_RS05815,,hypothetical protein,CDS,573.0,
PP_1118,PP_RS05820,,recombinase family protein,CDS,1692.0,
PP_1119,PP_RS05825,,YchJ family protein,CDS,480.0,
PP_1120,PP_RS05830,,DUF6231 family protein,CDS,495.0,
PP_1121,PP_RS05835,,OmpA family protein,CDS,693.0,
PP_1122,PP_RS05840,,OmpA family protein,CDS,720.0,
PP_1123,PP_RS05845,,DUF1145 domain-containing protein,CDS,276.0,
PP_1124,PP_RS05850,,CopD family protein,CDS,465.0,
PP_1125,PP_RS05855,dinG,ATP-dependent DNA helicase DinG,CDS,2145.0,
PP_1126,PP_RS05860,,beta-galactosidase,CDS,2235.0,
PP_1127,PP_RS05865,,EstA family serine hydrolase,CDS,1146.0,
PP_1128,PP_RS05870,,OmpA family protein,CDS,978.0,
PP_1129,PP_RS05875,pdxH,pyridoxamine 5'-phosphate oxidase,CDS,648.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis__Vitamin_B6_Metabolism
PP_1130,PP_RS05880,,hypothetical protein,CDS,234.0,
PP_1131,PP_RS05885,,glycine zipper 2TM domain-containing protein,CDS,465.0,
PP_1132,PP_RS05890,nhaA,Na+/H+ antiporter NhaA,CDS,1194.0,Metabolic:S_Transport__Inner_Membrane
PP_1133,PP_RS05895,,IS110-like element ISPpu9 family transposase,CDS,1329.0,
PP_1134,PP_RS05900,,NAD(P)/FAD-dependent oxidoreductase,CDS,1608.0,
PP_1135,PP_RS05905,,COG3650 family protein,CDS,675.0,
PP_1136,PP_RS05910,,hypothetical protein,CDS,1302.0,
PP_1137,PP_RS05915,,ABC transporter ATP-binding protein,CDS,702.0,Metabolic:S_Transport__ABC_system
PP_1138,PP_RS05920,livG,high-affinity branched-chain amino acid ABC transporter ATP-binding protein LivG,CDS,768.0,Metabolic:S_Transport__ABC_system
PP_1139,PP_RS05925,,high-affinity branched-chain amino acid ABC transporter permease LivM,CDS,1257.0,Metabolic:S_Transport__ABC_system
PP_1140,PP_RS05930,livH,high-affinity branched-chain amino acid ABC transporter permease LivH,CDS,924.0,Metabolic:S_Transport__ABC_system
PP_1141,PP_RS05935,,branched-chain amino acid ABC transporter substrate-binding protein,CDS,1116.0,Metabolic:S_Transport__ABC_system
PP_1142,PP_RS05940,,DUF2288 domain-containing protein,CDS,312.0,
PP_1143,PP_RS05945,,NAD(P)-dependent oxidoreductase,CDS,888.0,
PP_1144,PP_RS05950,,bifunctional diguanylate cyclase/phosphodiesterase,CDS,2265.0,Metabolic:S_Purine_Metabolism
PP_1145,PP_RS05955,rapA,RNA polymerase-associated protein RapA,CDS,2847.0,
PP_1146,PP_RS05960,,M949_RS01915 family surface polysaccharide biosynthesis protein,CDS,696.0,
PP_1147,PP_RS05965,,hypothetical protein,CDS,330.0,
PP_1148,PP_RS28270,,hypothetical protein,CDS,162.0,
PP_1149,PP_RS28830,ccoM,cytochrome c oxidase subunit CcoM,CDS,117.0,
PP_1150,PP_RS05970,,FUSC family protein,CDS,1989.0,
PP_1151,PP_RS05975,,DUF1656 domain-containing protein,CDS,207.0,
PP_1152,PP_RS05980,,HlyD family secretion protein,CDS,870.0,
PP_1153,PP_RS05985,,DUF2025 family protein,CDS,339.0,
PP_1154,PP_RS05990,,EAL domain-containing protein,CDS,2586.0,
PP_1155,PP_RS05995,,diguanylate cyclase,CDS,1074.0,
PP_1156,PP_RS06000,,formate/nitrite transporter family protein,CDS,897.0,Metabolic:S_Transport__Inner_Membrane
PP_16SE,PP_RS06005,,16S ribosomal RNA,rRNA,1537.0,Translation
PP_23SE,PP_RS06010,,23S ribosomal RNA,rRNA,2893.0,Translation
PP_5SE,PP_RS06015,rrf,5S ribosomal RNA,rRNA,116.0,Translation
PP_1157,PP_RS06020,,acetolactate synthase large subunit,CDS,1644.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis__Pantothenate_and_CoA_Biosynthesis
PP_1158,PP_RS06025,,nitrilase family protein,CDS,896.0,
PP_1159,PP_RS06030,,hypothetical protein,CDS,1155.0,
PP_1160,PP_RS06035,,asparaginase,CDS,990.0,Metabolic:S_Alanine_and_Aspartate_Metabolism
PP_1161,PP_RS06040,,UPF0149 family protein,CDS,552.0,
PP_1162,PP_RS06045,,glutathione S-transferase family protein,CDS,630.0,
PP_1163,PP_RS06050,,pyridoxamine 5'-phosphate oxidase family protein,CDS,2037.0,
PP_1164,PP_RS06055,,LysR family transcriptional regulator,CDS,897.0,
PP_1165,PP_RS06060,,aldose 1-epimerase,CDS,870.0,
PP_1166,PP_RS06065,,EamA family transporter,CDS,924.0,
PP_1167,PP_RS06070,,TRAP transporter large permease,CDS,1281.0,Metabolic:S_Transport__Inner_Membrane
PP_1168,PP_RS06075,,TRAP transporter small permease,CDS,528.0,Metabolic:S_Transport__Inner_Membrane
PP_1169,PP_RS06080,,TRAP transporter substrate-binding protein,CDS,972.0,Metabolic:S_Transport__Inner_Membrane
PP_1170,PP_RS06085,,SMP-30/gluconolactonase/LRE family protein,CDS,882.0,
PP_1171,PP_RS06090,,NAD(P)-dependent oxidoreductase,CDS,807.0,Metabolic:S_Alternate_Carbon__Ascorbate_and_Aldarate_Metabolism
PP_1173,PP_RS06095,,OprD family porin,CDS,1239.0,Metabolic:S_Transport__Outer_Membrane
PP_1174,PP_RS28785,,hypothetical protein,CDS,135.0,
PP_1177,PP_RS06105,,ribonucleotide-diphosphate reductase subunit beta,CDS,1251.0,Metabolic:S_Pyrimidine_Metabolism
PP_1178,PP_RS28790,,hypothetical protein,CDS,132.0,
PP_1179,PP_RS06110,,ribonucleoside-diphosphate reductase subunit alpha,CDS,2880.0,Metabolic:S_Pyrimidine_Metabolism
PP_1181,PP_RS06115,,response regulator transcription factor,CDS,699.0,
PP_1182,PP_RS06120,,ATP-binding protein,CDS,1608.0,
PP_1183,PP_RS06125,,4'-phosphopantetheinyl transferase,CDS,702.0,Metabolic:S_Cell_Envelope_Biosynthesis
PP_1184,PP_RS06130,,dienelactone hydrolase family protein,CDS,792.0,
PP_1185,PP_RS06135,,outer membrane beta-barrel protein,CDS,606.0,
PP_1186,PP_RS06140,,response regulator,CDS,678.0,
PP_1187,PP_RS06145,,ATP-binding protein,CDS,1347.0,
PP_1188,PP_RS06150,,dicarboxylate/amino acid:cation symporter,CDS,1323.0,Metabolic:S_Transport__Inner_Membrane
PP_1189,PP_RS06155,tsaA,tRNA (N6-threonylcarbamoyladenosine(37)-N6)-methyltransferase TrmO,CDS,693.0,
PP_1190,PP_RS06160,,DUF1456 family protein,CDS,462.0,
PP_1191,PP_RS06165,,rRNA pseudouridine synthase,CDS,711.0,
PP_1192,PP_RS06170,,GNAT family N-acetyltransferase,CDS,456.0,
PP_1193,PP_RS28795,,hypothetical protein,CDS,579.0,
PP_1194,PP_RS06180,,DUF6502 family protein,CDS,846.0,
PP_1195,PP_RS06185,,DUF5666 domain-containing protein,CDS,1719.0,
PP_1196,PP_RS06190,,hypothetical protein,CDS,750.0,
PP_1197,PP_RS06195,rimO,30S ribosomal protein S12 methylthiotransferase RimO,CDS,1332.0,
PP_1198,PP_RS06200,,DNA-binding transcriptional regulator,CDS,288.0,
PP_1199,PP_RS06205,,hypothetical protein,CDS,315.0,
PP_1200,PP_RS06210,,potassium transporter Kup,CDS,1911.0,Metabolic:S_Transport__Inner_Membrane
PP_1201,PP_RS06215,,virulence factor family protein,CDS,1293.0,
PP_1202,PP_RS06220,mprF,bifunctional lysylphosphatidylglycerol flippase/synthetase MprF,CDS,2643.0,
PP_t67,PP_RS06225,,tRNA-Met,tRNA,77.0,Translation
PP_t66,PP_RS06230,,tRNA-Met,tRNA,77.0,Translation
PP_t65,PP_RS06235,,tRNA-Met,tRNA,77.0,Translation
PP_1203,PP_RS06240,dinB,DNA polymerase IV,CDS,1059.0,
PP_1204,PP_RS06245,,hypothetical protein,CDS,954.0,
PP_1205,PP_RS06250,,proline--tRNA ligase,CDS,1716.0,tRNA Charging
PP_1206,PP_RS06255,,OprD family porin,CDS,1266.0,Metabolic:S_Transport__Outer_Membrane
PP_1207,PP_RS06260,,HIT domain-containing protein,CDS,420.0,
PP_1208,PP_RS06265,,SlyX family protein,CDS,207.0,
PP_1209,PP_RS28835,,cold-shock protein,CDS,594.0,
PP_1210,PP_RS06275,,Dps family protein,CDS,474.0,
PP_1211,PP_RS06280,,ribbon-helix-helix domain-containing protein,CDS,330.0,
PP_1212,PP_RS06285,,FmdB family zinc ribbon protein,CDS,222.0,
PP_1213,PP_RS06290,aspS,aspartate--tRNA ligase,CDS,1776.0,tRNA Charging
PP_1214,PP_RS06295,,YebC/PmpR family DNA-binding transcriptional regulator,CDS,747.0,
PP_1215,PP_RS06300,ruvC,crossover junction endodeoxyribonuclease RuvC,CDS,525.0,
PP_1216,PP_RS06305,ruvA,Holliday junction branch migration protein RuvA,CDS,618.0,
PP_1217,PP_RS06310,ruvB,Holliday junction branch migration DNA helicase RuvB,CDS,1047.0,
PP_1218,PP_RS06315,ybgC,tol-pal system-associated acyl-CoA thioesterase,CDS,453.0,
PP_1219,PP_RS06320,tolQ,protein TolQ,CDS,696.0,
PP_1220,PP_RS06325,tolR,protein TolR,CDS,453.0,
PP_1221,PP_RS06330,tolA,cell envelope integrity protein TolA,CDS,1119.0,
PP_1222,PP_RS06335,tolB,Tol-Pal system beta propeller repeat protein TolB,CDS,1272.0,
PP_1223,PP_RS06340,pal,peptidoglycan-associated lipoprotein Pal,CDS,501.0,
PP_1224,PP_RS06345,ybgF,tol-pal system protein YbgF,CDS,807.0,
PP_1225,PP_RS06350,queE,7-carboxy-7-deazaguanine synthase QueE,CDS,648.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis__Queuosine_biosynthesis
PP_1226,PP_RS06355,queC,7-cyano-7-deazaguanine synthase QueC,CDS,675.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis__Queuosine_biosynthesis
PP_t13,PP_RS06360,,tRNA-Lys,tRNA,76.0,Translation
PP_1227,PP_RS06365,,cation diffusion facilitator family transporter,CDS,960.0,
PP_1228,PP_RS06370,mcpU,methyl-accepting chemotaxis protein McpU,CDS,2067.0,
PP_1229,PP_RS06375,,APC family permease,CDS,1353.0,Metabolic:S_Transport__Inner_Membrane
PP_1230,PP_RS06380,,YdgA family protein,CDS,1509.0,
PP_1231,PP_RS06385,nadA,quinolinate synthase NadA,CDS,1059.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis__Nicotinamide_Biosynthesis
PP_1232,PP_RS06390,,M48 family metalloprotease,CDS,1437.0,
PP_1233,PP_RS06395,,sulfurtransferase TusA family protein,CDS,240.0,
PP_1234,PP_RS06400,,AI-2E family transporter,CDS,1071.0,
PP_1235,PP_RS06405,,peroxiredoxin,CDS,474.0,Metabolic:Unassigned
PP_1236,PP_RS06410,,glycine cleavage system protein R,CDS,561.0,
PP_1237,PP_RS06415,dapA,4-hydroxy-tetrahydrodipicolinate synthase,CDS,888.0,Metabolic:S_Lysine_Metabolism
PP_1238,PP_RS06420,bamC,outer membrane protein assembly factor BamC,CDS,1122.0,
PP_1239,PP_RS06425,,MBL fold metallo-hydrolase,CDS,759.0,
PP_1240,PP_RS06430,purC,phosphoribosylaminoimidazolesuccinocarboxamide synthase,CDS,711.0,Metabolic:S_Purine_Metabolism
PP_t14,PP_RS06435,,tRNA-Ser,tRNA,90.0,Translation
PP_1241,PP_RS06440,,addiction module antidote protein,CDS,351.0,
PP_1242,PP_RS06445,,DUF3077 domain-containing protein,CDS,273.0,
PP_1244,PP_RS06450,,hypothetical protein,CDS,258.0,
PP_1245,PP_RS06455,,SH3 domain-containing protein,CDS,861.0,
PP_1246,PP_RS06460,,hypothetical protein,CDS,1860.0,
PP_5467,PP_RS06465,,hypothetical protein,CDS,1209.0,
PP_1248,PP_RS06470,,LysE family transporter,CDS,618.0,
PP_1249,PP_RS06475,,YhfL family protein,CDS,192.0,
PP_1250,PP_RS06480,ltrA,group II intron reverse transcriptase/maturase,CDS,1422.0,
PP_1251,PP_RS06485,mqo,malate dehydrogenase (quinone),CDS,1638.0,Metabolic:S_TCA_Cycle
PP_1252,PP_RS06490,ltrA,group II intron reverse transcriptase/maturase,CDS,1422.0,
PP_1253,PP_RS06495,,helix-turn-helix transcriptional regulator,CDS,336.0,
PP_1254,PP_RS06500,xenA,xenobiotic reductase XenA,CDS,1092.0,Metabolic:S_Xenobiotic_tolerance
PP_1255,PP_RS06505,,FAD-binding oxidoreductase,CDS,1248.0,Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Hydroxy_proline_metabolism
PP_1256,PP_RS06510,,aldehyde dehydrogenase (NADP(+)),CDS,1578.0,Metabolic:S_Alternate_Carbon__Ascorbate_and_Aldarate_Metabolism
PP_1257,PP_RS06515,,dihydrodipicolinate synthase family protein,CDS,948.0,Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Hydroxy_proline_metabolism
PP_1258,PP_RS06520,,4-hydroxyproline epimerase,CDS,927.0,Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Hydroxy_proline_metabolism
PP_1259,PP_RS06525,,APC family permease,CDS,1614.0,Metabolic:S_Transport__ABC_system
PP_1260,PP_RS06530,,IS110-like element ISPpu9 family transposase,CDS,1329.0,
PP_1261,PP_RS06535,,D-glycerate dehydrogenase,CDS,975.0,
PP_1262,PP_RS06540,,LysR family transcriptional regulator,CDS,948.0,
PP_1263,PP_RS06545,,efflux transporter outer membrane subunit,CDS,1530.0,
PP_1264,PP_RS06550,,FUSC family protein,CDS,2178.0,
PP_1265,PP_RS06555,,DUF1656 domain-containing protein,CDS,201.0,
PP_1266,PP_RS06560,,HlyD family secretion protein,CDS,861.0,
PP_1267,PP_RS06565,,type II toxin-antitoxin system YhaV family toxin,CDS,468.0,
PP_1268,PP_RS06570,,type II toxin-antitoxin system PrlF family antitoxin,CDS,327.0,
PP_1269,PP_RS06575,,universal stress protein,CDS,447.0,
PP_1270,PP_RS06580,,LysR family transcriptional regulator,CDS,906.0,
PP_1271,PP_RS06585,,MFS transporter,CDS,1542.0,
PP_1272,PP_RS06590,,HlyD family secretion protein,CDS,1062.0,
PP_1273,PP_RS06595,,efflux transporter outer membrane subunit,CDS,1455.0,
PP_1274,PP_RS06600,,SDR family oxidoreductase,CDS,813.0,
PP_1275,PP_RS06605,,hypothetical protein,CDS,465.0,
PP_1276,PP_RS06610,,hypothetical protein,CDS,453.0,
PP_1277,PP_RS06615,,mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase,CDS,1455.0,Metabolic:S_Alginate_biosynthesis
PP_1278,PP_RS06620,,alginate O-acetyltransferase AlgF,CDS,648.0,Metabolic:S_Alginate_biosynthesis
PP_1279,PP_RS06625,,alginate O-acetyltransferase,CDS,1158.0,Metabolic:S_Alginate_biosynthesis
PP_1280,PP_RS06630,,MBOAT family protein,CDS,1458.0,Metabolic:S_Alginate_biosynthesis
PP_1281,PP_RS06635,,mannuronate-specific alginate lyase,CDS,1104.0,Metabolic:S_Alginate_biosynthesis
PP_1282,PP_RS06640,,alginate biosynthesis protein AlgX,CDS,1440.0,Metabolic:S_Alginate_biosynthesis
PP_1283,PP_RS06645,algG,mannuronan 5-epimerase AlgG,CDS,1560.0,Metabolic:S_Alginate_biosynthesis
PP_1284,PP_RS06650,,alginate export family protein,CDS,1479.0,Metabolic:S_Alginate_biosynthesis
PP_1285,PP_RS06655,algK,alginate biosynthesis TPR repeat lipoprotein AlgK,CDS,1434.0,Metabolic:S_Alginate_biosynthesis
PP_1286,PP_RS06660,,PilZ domain-containing protein,CDS,1167.0,Metabolic:S_Alginate_biosynthesis
PP_1287,PP_RS06665,,glycosyltransferase family 2 protein,CDS,1482.0,Metabolic:S_Alginate_biosynthesis
PP_1288,PP_RS06670,,nucleotide sugar dehydrogenase,CDS,1317.0,Metabolic:S_Alginate_biosynthesis
PP_1289,PP_RS06675,yaaA,peroxide stress protein YaaA,CDS,780.0,
PP_1290,PP_RS06680,,polysaccharide deacetylase family protein,CDS,1128.0,
PP_1291,PP_RS06685,,PhoH family protein,CDS,1395.0,
PP_1292,PP_RS06690,moaC,cyclic pyranopterin monophosphate synthase MoaC,CDS,471.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis__Molybdopterin_Biosynthesis
PP_1293,PP_RS06695,moaD,molybdopterin converting factor subunit 1,CDS,246.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis__Molybdopterin_Biosynthesis
PP_1294,PP_RS06700,moaE,molybdopterin synthase catalytic subunit MoaE,CDS,447.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis__Molybdopterin_Biosynthesis
PP_1295,PP_RS06705,rhlB,ATP-dependent RNA helicase RhlB,CDS,1443.0,Translation
PP_1296,PP_RS06710,,alpha/beta hydrolase,CDS,657.0,
PP_1297,PP_RS06715,,amino acid ABC transporter substrate-binding protein,CDS,1029.0,Metabolic:S_Transport__ABC_system
PP_1298,PP_RS06720,,amino acid ABC transporter permease,CDS,1179.0,Metabolic:S_Transport__ABC_system
PP_1299,PP_RS06725,,amino acid ABC transporter permease,CDS,1098.0,Metabolic:S_Transport__ABC_system
PP_1300,PP_RS06730,,amino acid ABC transporter ATP-binding protein,CDS,765.0,Metabolic:S_Transport__ABC_system
PP_1301,PP_RS06735,algW,Do family serine endopeptidase AlgW,CDS,1161.0,
PP_1302,PP_RS06740,,Nif3-like dinuclear metal center hexameric protein,CDS,759.0,
PP_1303,PP_RS06745,cysD,sulfate adenylyltransferase subunit CysD,CDS,918.0,Metabolic:S_Sulfur_Metabolism
PP_1304,PP_RS06750,cysN,sulfate adenylyltransferase subunit CysN,CDS,1902.0,Metabolic:S_Sulfur_Metabolism
PP_1305,PP_RS06755,,bacteriocin immunity protein,CDS,264.0,
PP_1306,PP_RS06760,,S-type pyocin domain-containing protein,CDS,2259.0,
PP_1307,PP_RS06765,,Lrp/AsnC family transcriptional regulator,CDS,480.0,
PP_1308,PP_RS06770,,methionine gamma-lyase,CDS,1197.0,Metabolic:S_Methionine_Metabolism
PP_1309,PP_RS06775,,YhcB family protein,CDS,438.0,
PP_1310,PP_RS06780,,alpha/beta hydrolase,CDS,636.0,
PP_1311,PP_RS06785,,tryptophan--tRNA ligase,CDS,1350.0,tRNA Charging
PP_1312,PP_RS06790,zapE,cell division protein ZapE,CDS,1095.0,
PP_1313,PP_RS06795,,GlxA family transcriptional regulator,CDS,921.0,
PP_1314,PP_RS06800,,NADP(H)-dependent aldo-keto reductase,CDS,1041.0,
PP_1315,PP_RS06805,rplM,50S ribosomal protein L13,CDS,429.0,Translation
PP_1316,PP_RS06810,rpsI,30S ribosomal protein S9,CDS,393.0,Translation
PP_1317,PP_RS06815,petA,ubiquinol-cytochrome c reductase iron-sulfur subunit,CDS,594.0,Metabolic:S_Oxidative_Phosphorylation
PP_1318,PP_RS06820,,cytochrome bc complex cytochrome b subunit,CDS,1212.0,Metabolic:S_Oxidative_Phosphorylation
PP_1319,PP_RS06825,,cytochrome c1,CDS,780.0,Metabolic:S_Oxidative_Phosphorylation
PP_1320,PP_RS06830,,glutathione S-transferase N-terminal domain-containing protein,CDS,624.0,
PP_1321,PP_RS06835,,ClpXP protease specificity-enhancing factor,CDS,432.0,
PP_1322,PP_RS06840,,BON domain-containing protein,CDS,579.0,
PP_1323,PP_RS06845,,phosphoheptose isomerase,CDS,594.0,Metabolic:S_Cell_Envelope_Biosynthesis__Biosynthesis_of_L_glycero_D_manno_heptose__Hep_
PP_1324,PP_RS06850,,YraN family protein,CDS,372.0,
PP_1325,PP_RS06855,,penicillin-binding protein activator,CDS,1818.0,
PP_1326,PP_RS06860,rsmI,16S rRNA (cytidine(1402)-2'-O)-methyltransferase,CDS,876.0,Translation
PP_mr18,PP_RS06865,rnpB,RNase P RNA component class A,ncRNA,376.0,
PP_1328,PP_RS06870,mraZ,division/cell wall cluster transcriptional repressor MraZ,CDS,456.0,
PP_1329,PP_RS06875,rsmH,16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH,CDS,942.0,Translation
PP_1330,PP_RS06880,ftsL,cell division protein FtsL,CDS,294.0,
PP_1331,PP_RS06885,,penicillin-binding protein 2,CDS,1746.0,Metabolic:S_Cell_Envelope_Biosynthesis__Peptidoglycan_Biosynthesis
PP_1332,PP_RS06890,,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase",CDS,1488.0,Metabolic:S_Cell_Envelope_Biosynthesis__Peptidoglycan_Biosynthesis
PP_1333,PP_RS06895,murF,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase,CDS,1368.0,Metabolic:S_Cell_Envelope_Biosynthesis__Peptidoglycan_Biosynthesis
PP_1334,PP_RS06900,mraY,phospho-N-acetylmuramoyl-pentapeptide- transferase,CDS,1083.0,Metabolic:S_Cell_Envelope_Biosynthesis__Peptidoglycan_Biosynthesis
PP_1335,PP_RS06905,murD,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,CDS,1347.0,Metabolic:S_Cell_Envelope_Biosynthesis
PP_1336,PP_RS06910,ftsW,putative lipid II flippase FtsW,CDS,1212.0,Metabolic:S_Cell_Envelope_Biosynthesis__Peptidoglycan_Biosynthesis
PP_1337,PP_RS06915,murG,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase,CDS,1080.0,Metabolic:S_Cell_Envelope_Biosynthesis__Peptidoglycan_Biosynthesis
PP_1338,PP_RS06920,murC,UDP-N-acetylmuramate--L-alanine ligase,CDS,1449.0,Metabolic:S_Cell_Envelope_Biosynthesis
PP_1339,PP_RS06925,,D-alanine--D-alanine ligase,CDS,957.0,Metabolic:S_Cell_Envelope_Biosynthesis__Peptidoglycan_Biosynthesis
PP_1340,PP_RS06930,,cell division protein FtsQ/DivIB,CDS,870.0,
PP_1341,PP_RS06935,ftsA,cell division protein FtsA,CDS,1263.0,
PP_1342,PP_RS06940,ftsZ,cell division protein FtsZ,CDS,1197.0,
PP_1343,PP_RS06945,lpxC,UDP-3-O-acyl-N-acetylglucosamine deacetylase,CDS,912.0,Metabolic:S_Cell_Envelope_Biosynthesis__Lipid_A_Biosynthesis
PP_1344,PP_RS06950,,DUF721 domain-containing protein,CDS,456.0,
PP_1345,PP_RS06955,secA,preprotein translocase subunit SecA,CDS,2736.0,Post-translation
PP_1346,PP_RS06960,argJ,bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ,CDS,1218.0,Metabolic:S_Urea_cycleamino_group_metabolism
